Activity Date,Transaction,Description,Symbol,Qty,Fill Price,Commission,Net Amount
1/8/2013,Sell To Open,INTC Jan 13 21.00 Put,INTC,-1,0.27,0.15,26.85
1/8/2013,Sell To Open,INTC Jan 13 21.00 Put,INTC,-1,0.27,0.15,26.85
1/8/2013,Sell To Open,INTC Jan 13 21.00 Put,INTC,-1,0.27,0.15,26.85
1/8/2013,Sell To Open,INTC Jan 13 21.00 Put,INTC,-3,0.27,8.95,72.05
1/7/2013,Sell To Open,P Jan 13 10.00 Call,P,-32,0.62,4.8,1979.2
1/7/2013,Buy To Close,P Jan 13 9.00 Call,P,32,1.48,17.3,-4753.3
1/2/2013,,Money Market Dividends Paid,,,,,0.1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
