Activity Date,Transaction,Description,Symbol,Qty,Fill Price,Commission,Net Amount
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-1,0.31,0,31
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-1,0.31,0,31
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-1,0.31,0,31
11/5/2013,Sell To Open,IP 8 Nov 13 (W) 44.00 Put,IP,-2,0.31,5,57
11/5/2013,Buy To Close,MET 8 Nov 13 (W) 47.50 Call,MET,4,0,,0
11/5/2013,Sell To Open,MET Stock,MET,-400,47.5,5,18995
11/5/2013,OPTASS,MET 8 Nov 13 (W) 47.50 Call,MET,4,,,0
11/4/2013,Sell To Open,MET 8 Nov 13 (W) 47.50 Call,MET,-5,0.42,5,205
11/4/2013,Sell To Open,INTC 8 Nov 13 (W) 24.50 Call,INTC,-9,0.09,9,72
11/1/2013,Buy To Open,MET Stock,MET,500,48.5,5,-24255
11/1/2013,Buy To Open,INTC Stock,INTC,900,24.5,5,-22055
11/1/2013,,Money Market Dividends Paid,,,,,0.25
11/1/2013,OPTASS,MET 1 Nov 13 (W) 48.50 Put,MET,5,,,0
11/1/2013,OPTASS,INTC 1 Nov 13 (W) 24.50 Put,INTC,9,,,0
11/1/2013,Buy To Close,INTC 1 Nov 13 (W) 24.50 Put,INTC,9,0,,0
11/1/2013,Buy To Close,MET 1 Nov 13 (W) 48.50 Put,MET,5,0,,0
10/28/2013,Sell To Open,INTC 1 Nov 13 (W) 24.50 Put,INTC,-9,0.19,9,162
10/28/2013,Sell To Open,MET 1 Nov 13 (W) 48.50 Put,MET,-5,0.76,5,375
10/28/2013,Sell To Open,WFC 1 Nov 13 (W) 42.50 Put,WFC,-5,0.2,5,95
10/28/2013,Sell To Open,PFE 1 Nov 13 (W) 30.50 Put,PFE,-1,0.24,1,23
10/28/2013,Sell To Open,PFE 1 Nov 13 (W) 30.50 Put,PFE,-2,0.24,0,48
10/28/2013,Sell To Open,PFE 1 Nov 13 (W) 30.50 Put,PFE,-3,0.24,5,67
10/28/2013,,Cash Dividend,AGNC,,,,160
10/25/2013,,Cash Dividend,SYY,,,,140
10/21/2013,Sell To Open,AGNC 25 Oct 13 (W) 23.00 Put,AGNC,-8,0.07,8,48
10/21/2013,Sell To Open,F 25 Oct 13 (W) 17.00 Put,F,-2,0.12,2,22
10/21/2013,Sell To Open,F 25 Oct 13 (W) 17.00 Put,F,-1,0.12,1,11
10/21/2013,Sell To Open,F 25 Oct 13 (W) 17.00 Put,F,-1,0.12,1,11
10/21/2013,Sell To Open,F 25 Oct 13 (W) 17.00 Put,F,-2,0.12,2,22
10/21/2013,Sell To Open,F 25 Oct 13 (W) 17.00 Put,F,-1,0.12,0,12
10/21/2013,Sell To Open,F 25 Oct 13 (W) 17.00 Put,F,-4,0.12,5,43
10/21/2013,Sell To Open,AAPL 25 Oct 13 (W) 500.00 (mini) Put,AAPL,-9,1.05,9,85.5
10/18/2013,OPTASS,SYY Oct 13 32.00 Call,SYY,5,,,0
10/18/2013,OPTASS,CYS Oct 13 8.00 Call,CYS,26,,,0
10/18/2013,OPTASS,AAPL Oct 13 500.00 (mini) Call,AAPL,8,,,0
10/18/2013,Buy To Close,CYS Oct 13 8.00 Call,CYS,26,0,,0
10/18/2013,Buy To Close,SYY Oct 13 32.00 Call,SYY,5,0,,0
10/18/2013,Buy To Close,AAPL Oct 13 500.00 (mini) Call,AAPL,8,0,,0
10/18/2013,Sell To Open,SYY Stock,SYY,-500,32,5,15995
10/18/2013,Sell To Open,CYS Stock,CYS,-2600,8,5,20795
10/18/2013,Sell To Open,AAPL Stock,AAPL,-80,500,5,39995
10/14/2013,Sell To Open,AAPL Oct 13 500.00 (mini) Call,AAPL,-8,3.86,8,300.8
10/7/2013,Sell To Open,AAPL 11 Oct 13 (W) 495.00 (mini) Call,AAPL,-8,3.3,8,256
10/4/2013,OPTASS,AGNC 4 Oct 13 (W) 23.00 Call,AGNC,2,,,0
10/4/2013,Buy To Close,AGNC 4 Oct 13 (W) 23.00 Call,AGNC,2,0,,0
10/4/2013,Sell To Open,AGNC Stock,AGNC,-200,23,5,4595
10/1/2013,Sell To Open,AGNC 4 Oct 13 (W) 23.00 Call,AGNC,-2,0.11,5,17
10/1/2013,Sell To Open,AAPL 4 Oct 13 (W) 500.00 (mini) Call,AAPL,-8,0.95,8,68
10/1/2013,,Money Market Dividends Paid,,,,,0.22
9/26/2013,Sell To Open,SYY Oct 13 32.00 Call,SYY,-5,0.4,9.25,190.75
9/26/2013,Buy To Open,SYY Stock,SYY,500,32.2099,3.95,-16108.9
9/26/2013,Sell To Open,AAPL 27 Sep 13 (W) 490.00 (mini) Call,AAPL,-8,1.84,9.7,137.5
9/25/2013,Buy To Close,AAPL 4 Oct 13 (W) 500.00 (mini) Call,AAPL,8,2.83,9.7,-236.1
9/25/2013,Sell To Open,AAPL 4 Oct 13 (W) 500.00 (mini) Call,AAPL,-8,3,9.7,230.3
9/25/2013,Buy To Close,AAPL 27 Sep 13 (W) 500.00 (mini) Call,AAPL,8,0.69,9.7,-64.9
9/25/2013,OPTASS,AGNC 27 Sep 13 (W) 23.50 Call,AGNC,7,,,0
9/25/2013,Buy To Close,AGNC 27 Sep 13 (W) 23.50 Call,AGNC,7,0,,0
9/25/2013,Sell To Open,AGNC Stock,AGNC,-700,23.5,5,16445
9/24/2013,Sell To Open,AAPL 27 Sep 13 (W) 500.00 (mini) Call,AAPL,-8,2.39,9.7,181.5
9/23/2013,Sell To Open,AGNC 27 Sep 13 (W) 23.50 Call,AGNC,-9,0.16,9.85,134.15
9/23/2013,Sell To Open,CYS Oct 13 8.00 Call,CYS,-26,0.25,12.4,637.6
9/20/2013,OPTASS,CYS Sep 13 8.00 Put,CYS,26,,,0
9/20/2013,OPTASS,AGNC Sep 13 23.50 Put,AGNC,9,,,0
9/20/2013,Buy To Close,AGNC Sep 13 23.50 Put,AGNC,9,0,,0
9/20/2013,Buy To Close,CYS Sep 13 8.00 Put,CYS,26,0,,0
9/20/2013,Buy To Open,AGNC Stock,AGNC,900,23.5,5,-21155
9/20/2013,Buy To Open,CYS Stock,CYS,2600,8,5,-20805
9/17/2013,Sell To Open,AGNC Sep 13 23.50 Put,AGNC,-9,0.34,9.85,296.15
9/16/2013,Sell To Open,CYS Sep 13 8.00 Put,CYS,-26,0.16,12.4,403.6
9/16/2013,Buy To Open,AAPL Stock,AAPL,42,455.89,3.95,-19151.33
9/9/2013,Sell To Open,INTC 13 Sep 13 (W) 22.50 Put,INTC,-8,0.14,1.2,110.8
9/9/2013,Sell To Open,INTC 13 Sep 13 (W) 22.50 Put,INTC,-8,0.14,9.7,102.3
9/9/2013,Sell To Open,F 13 Sep 13 (W) 17.00 Put,F,-4,0.08,0.6,31.4
9/9/2013,Sell To Open,F 13 Sep 13 (W) 17.00 Put,F,-11,0.08,10.15,77.85
9/6/2013,OPTASS,INTC 6 Sep 13 (W) 22.50 Call,INTC,15,,,0
9/6/2013,OPTASS,F 6 Sep 13 (W) 17.00 Call,F,15,,,0
9/6/2013,Buy To Close,F 6 Sep 13 (W) 17.00 Call,F,15,0,,0
9/6/2013,Buy To Close,INTC 6 Sep 13 (W) 22.50 Call,INTC,15,0,,0
9/6/2013,Sell To Open,F Stock,F,-1500,17,5,25495
9/6/2013,Sell To Open,INTC Stock,INTC,-1500,22.5,5,33745
9/3/2013,Sell To Open,INTC 6 Sep 13 (W) 22.50 Call,INTC,-9,0.09,1.35,79.65
9/3/2013,Sell To Open,INTC 6 Sep 13 (W) 22.50 Call,INTC,-6,0.09,9.4,44.6
9/3/2013,,Money Market Dividends Paid,,,,,0.04
8/26/2013,Sell To Open,INTC 30 Aug 13 (W) 22.50 Call,INTC,-15,0.12,10.75,169.25
8/22/2013,Sell To Open,F 6 Sep 13 (W) 17.00 Call,F,-15,0.11,10.75,154.25
8/19/2013,Sell To Open,INTC 23 Aug 13 (W) 22.50 Call,INTC,-15,0.1,10.75,139.25
8/19/2013,,Money Market Dividends Paid,,,,,0.3
8/16/2013,OPTASS,INTC Aug 13 22.50 Put,INTC,15,,,0
8/16/2013,OPTASS,F Aug 13 17.00 Put,F,15,,,0
8/16/2013,Buy To Close,INTC Aug 13 22.50 Put,INTC,15,0,,0
8/16/2013,Buy To Close,F Aug 13 17.00 Put,F,15,0,,0
8/16/2013,Buy To Open,F Stock,F,1500,17,5,-25505
8/16/2013,Buy To Open,INTC Stock,INTC,1500,22.5,5,-33755
8/15/2013,,Cash Dividend,AAPL,,,,115.9
8/14/2013,Sell To Open,F Aug 13 17.00 Put,F,-15,0.12,10.75,169.25
